Condition_ID,Condition_Name,Condition_Category,Base_Severity_Score,Default_Department,Emergency_Flag,Contagious_Flag,Max_Recommended_Wait_Time_Minutes,Mortality_Risk_Level,Progression_Speed
COND00001,Myocardial Infarction Acute,Cardiac,9,Emergency,Yes,No,14,Moderate,Slow
COND00002,Myocardial Infarction Chronic,Cardiac,2,Cardiology,No,No,142,Low,Slow
COND00003,Myocardial Infarction Severe,Cardiac,7,Emergency,Yes,No,1,Moderate,Slow
COND00004,Myocardial Infarction Moderate,Cardiac,5,Emergency,Yes,No,41,Moderate,Fast
COND00005,Myocardial Infarction Mild,Cardiac,2,Cardiology,No,No,118,Low,Fast
COND00006,Myocardial Infarction Stable,Cardiac,7,Emergency,No,No,76,Low,Moderate
COND00007,Myocardial Infarction Unstable,Cardiac,10,Emergency,Yes,No,2,High,Slow
COND00008,Angina Acute,Cardiac,9,Emergency,Yes,No,6,High,Fast
COND00009,Angina Chronic,Cardiac,2,Cardiology,No,No,173,Moderate,Fast
COND00010,Angina Severe,Cardiac,8,Emergency,Yes,No,14,Moderate,Moderate
COND00011,Angina Moderate,Cardiac,7,Cardiology,No,No,43,Moderate,Fast
COND00012,Angina Mild,Cardiac,5,Cardiology,No,No,65,Low,Slow
COND00013,Angina Stable,Cardiac,4,Cardiology,No,No,63,Low,Slow
COND00014,Angina Unstable,Cardiac,9,Emergency,Yes,No,7,Moderate,Moderate
COND00015,Heart Failure Acute,Cardiac,10,Emergency,Yes,No,7,High,Slow
COND00016,Heart Failure Chronic,Cardiac,2,Cardiology,No,No,112,Low,Slow
COND00017,Heart Failure Severe,Cardiac,10,Emergency,Yes,No,8,High,Fast
COND00018,Heart Failure Moderate,Cardiac,4,Cardiology,Yes,No,53,Low,Moderate
COND00019,Heart Failure Mild,Cardiac,4,Emergency,No,No,140,Moderate,Slow
COND00020,Heart Failure Stable,Cardiac,6,Emergency,Yes,No,70,Moderate,Slow
COND00021,Heart Failure Unstable,Cardiac,10,Emergency,Yes,No,15,High,Moderate
COND00022,Arrhythmia Acute,Cardiac,8,Emergency,Yes,No,2,High,Moderate
COND00023,Arrhythmia Chronic,Cardiac,3,Cardiology,No,No,124,Moderate,Slow
COND00024,Arrhythmia Severe,Cardiac,9,Emergency,Yes,No,13,Moderate,Moderate
COND00025,Arrhythmia Moderate,Cardiac,4,Cardiology,No,No,89,Moderate,Fast
COND00026,Arrhythmia Mild,Cardiac,4,Emergency,No,No,155,Low,Moderate
COND00027,Arrhythmia Stable,Cardiac,6,Emergency,No,No,65,Low,Slow
COND00028,Arrhythmia Unstable,Cardiac,9,Emergency,Yes,No,1,High,Moderate
COND00029,Atrial Fibrillation Acute,Cardiac,8,Emergency,Yes,No,5,Moderate,Moderate
COND00030,Atrial Fibrillation Chronic,Cardiac,5,Emergency,No,No,89,Low,Moderate
COND00031,Atrial Fibrillation Severe,Cardiac,9,Emergency,Yes,No,6,Moderate,Slow
COND00032,Atrial Fibrillation Moderate,Cardiac,4,Cardiology,No,No,81,Low,Moderate
COND00033,Atrial Fibrillation Mild,Cardiac,3,Cardiology,No,No,68,Low,Slow
COND00034,Atrial Fibrillation Stable,Cardiac,5,Cardiology,No,No,83,Low,Slow
COND00035,Atrial Fibrillation Unstable,Cardiac,10,Emergency,Yes,No,16,High,Fast
COND00036,Cardiomyopathy Acute,Cardiac,10,Emergency,Yes,No,1,High,Slow
COND00037,Cardiomyopathy Chronic,Cardiac,2,Cardiology,No,No,140,Low,Slow
COND00038,Cardiomyopathy Severe,Cardiac,10,Emergency,Yes,No,4,High,Moderate
COND00039,Cardiomyopathy Moderate,Cardiac,4,Cardiology,No,No,73,Moderate,Slow
COND00040,Cardiomyopathy Mild,Cardiac,4,Cardiology,No,No,134,Low,Moderate
COND00041,Cardiomyopathy Stable,Cardiac,5,Cardiology,No,No,35,Low,Slow
COND00042,Cardiomyopathy Unstable,Cardiac,10,Emergency,Yes,No,5,Moderate,Moderate
COND00043,Pericarditis Acute,Cardiac,9,Emergency,Yes,No,3,High,Fast
COND00044,Pericarditis Chronic,Cardiac,4,Emergency,No,No,79,Moderate,Moderate
COND00045,Pericarditis Severe,Cardiac,7,Cardiology,Yes,No,7,High,Moderate
COND00046,Pericarditis Moderate,Cardiac,4,Cardiology,No,No,71,Low,Slow
COND00047,Pericarditis Mild,Cardiac,3,Cardiology,No,No,175,Moderate,Moderate
COND00048,Pericarditis Stable,Cardiac,7,Emergency,No,No,61,Low,Moderate
COND00049,Pericarditis Unstable,Cardiac,9,Emergency,Yes,No,15,Moderate,Slow
COND00050,Endocarditis Acute,Cardiac,10,Emergency,Yes,No,0,High,Moderate
COND00051,Endocarditis Chronic,Cardiac,4,Emergency,No,No,95,Moderate,Slow
COND00052,Endocarditis Severe,Cardiac,9,Emergency,Yes,No,2,High,Slow
COND00053,Endocarditis Moderate,Cardiac,5,Cardiology,Yes,No,83,Low,Slow
COND00054,Endocarditis Mild,Cardiac,5,Cardiology,No,No,92,Low,Moderate
COND00055,Endocarditis Stable,Cardiac,7,Cardiology,No,No,46,Low,Moderate
COND00056,Endocarditis Unstable,Cardiac,9,Emergency,Yes,No,13,High,Moderate
COND00057,Hypertension Acute,Cardiac,8,Emergency,Yes,No,7,High,Moderate
COND00058,Hypertension Chronic,Cardiac,3,Cardiology,No,No,156,Low,Slow
COND00059,Hypertension Severe,Cardiac,7,Cardiology,Yes,No,3,High,Moderate
COND00060,Hypertension Moderate,Cardiac,4,Emergency,No,No,75,Low,Moderate
COND00061,Hypertension Mild,Cardiac,2,Cardiology,No,No,152,Moderate,Slow
COND00062,Hypertension Stable,Cardiac,6,Cardiology,No,No,50,Moderate,Moderate
COND00063,Hypertension Unstable,Cardiac,9,Emergency,Yes,No,9,High,Slow
COND00064,Coronary Artery Disease Acute,Cardiac,8,Emergency,Yes,No,13,Moderate,Fast
COND00065,Coronary Artery Disease Chronic,Cardiac,5,Cardiology,No,No,82,Low,Slow
COND00066,Coronary Artery Disease Severe,Cardiac,8,Emergency,Yes,No,7,High,Moderate
COND00067,Coronary Artery Disease Moderate,Cardiac,6,Emergency,No,No,71,Low,Slow
COND00068,Coronary Artery Disease Mild,Cardiac,2,Cardiology,No,No,119,Low,Slow
COND00069,Coronary Artery Disease Stable,Cardiac,4,Emergency,Yes,No,75,Moderate,Slow
COND00070,Coronary Artery Disease Unstable,Cardiac,9,Emergency,Yes,No,1,High,Fast
COND00071,Valvular Disease Acute,Cardiac,9,Emergency,Yes,No,18,Moderate,Moderate
COND00072,Valvular Disease Chronic,Cardiac,4,Cardiology,No,No,81,Moderate,Fast
COND00073,Valvular Disease Severe,Cardiac,10,Emergency,Yes,No,14,High,Moderate
COND00074,Valvular Disease Moderate,Cardiac,7,Cardiology,No,No,89,Low,Moderate
COND00075,Valvular Disease Mild,Cardiac,5,Cardiology,No,No,155,Moderate,Slow
COND00076,Valvular Disease Stable,Cardiac,6,Cardiology,Yes,No,79,Moderate,Moderate
COND00077,Valvular Disease Unstable,Cardiac,7,Cardiology,Yes,No,4,High,Fast
COND00078,Pulmonary Embolism Acute,Cardiac,9,Emergency,Yes,No,0,Moderate,Fast
COND00079,Pulmonary Embolism Chronic,Cardiac,2,Cardiology,No,No,155,Low,Slow
COND00080,Pulmonary Embolism Severe,Cardiac,10,Emergency,Yes,No,0,Moderate,Slow
COND00081,Pulmonary Embolism Moderate,Cardiac,6,Cardiology,No,No,58,Low,Moderate
COND00082,Pulmonary Embolism Mild,Cardiac,5,Cardiology,No,No,145,Low,Moderate
COND00083,Pulmonary Embolism Stable,Cardiac,4,Cardiology,Yes,No,81,Moderate,Fast
COND00084,Pulmonary Embolism Unstable,Cardiac,8,Emergency,Yes,No,6,High,Moderate
COND00085,Deep Vein Thrombosis Acute,Cardiac,8,Emergency,Yes,No,9,High,Slow
COND00086,Deep Vein Thrombosis Chronic,Cardiac,5,Cardiology,No,No,154,Low,Slow
COND00087,Deep Vein Thrombosis Severe,Cardiac,10,Emergency,Yes,No,4,Moderate,Moderate
COND00088,Deep Vein Thrombosis Moderate,Cardiac,7,Emergency,Yes,No,78,Low,Moderate
