Symptom_ID,Symptom_Name,Base_Severity,Emergency_Trigger,Associated_Department,Possible_Linked_Conditions,Typical_Duration_Days
SYMP00001,mild chest,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP00002,moderate chest,6,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",28
SYMP00003,severe chest,10,True,General Medicine,"Condition_0, Condition_1, Condition_2",19
SYMP00004,acute chest,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",3
SYMP00005,chronic chest,1,False,General Medicine,"Condition_0, Condition_1, Condition_2",21
SYMP00006,sudden chest,7,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",2
SYMP00007,persistent chest,4,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",12
SYMP00008,intermittent chest,5,False,General Medicine,"Condition_0, Condition_1",9
SYMP00009,mild abdominal,2,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",11
SYMP00010,moderate abdominal,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",29
SYMP00011,severe abdominal,8,True,General Medicine,"Condition_0, Condition_1, Condition_2",23
SYMP00012,acute abdominal,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",9
SYMP00013,chronic abdominal,5,False,General Medicine,"Condition_0, Condition_1, Condition_2",17
SYMP00014,sudden abdominal,8,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP00015,persistent abdominal,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",7
SYMP00016,intermittent abdominal,1,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",20
SYMP00017,mild head,1,False,General Medicine,"Condition_0, Condition_1",25
SYMP00018,moderate head,7,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",18
SYMP00019,severe head,9,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",7
SYMP00020,acute head,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",6
SYMP00021,chronic head,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",21
SYMP00022,sudden head,10,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",15
SYMP00023,persistent head,7,False,General Medicine,"Condition_0, Condition_1, Condition_2",9
SYMP00024,intermittent head,5,False,General Medicine,"Condition_0, Condition_1, Condition_2",17
SYMP00025,mild back,3,False,General Medicine,"Condition_0, Condition_1, Condition_2",12
SYMP00026,moderate back,7,False,General Medicine,"Condition_0, Condition_1",6
SYMP00027,severe back,9,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",1
SYMP00028,acute back,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",11
SYMP00029,chronic back,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",3
SYMP00030,sudden back,8,False,General Medicine,"Condition_0, Condition_1",23
SYMP00031,persistent back,7,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",21
SYMP00032,intermittent back,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",4
SYMP00033,mild joint,4,False,General Medicine,"Condition_0, Condition_1, Condition_2",4
SYMP00034,moderate joint,4,False,General Medicine,"Condition_0, Condition_1, Condition_2",12
SYMP00035,severe joint,10,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",13
SYMP00036,acute joint,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",25
SYMP00037,chronic joint,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",21
SYMP00038,sudden joint,10,True,General Medicine,"Condition_0, Condition_1, Condition_2",19
SYMP00039,persistent joint,4,True,General Medicine,"Condition_0, Condition_1, Condition_2",2
SYMP00040,intermittent joint,3,False,General Medicine,"Condition_0, Condition_1, Condition_2",3
SYMP00041,mild muscle,4,False,General Medicine,"Condition_0, Condition_1",5
SYMP00042,moderate muscle,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",27
SYMP00043,severe muscle,9,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",16
SYMP00044,acute muscle,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",2
SYMP00045,chronic muscle,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP00046,sudden muscle,8,True,General Medicine,"Condition_0, Condition_1",20
SYMP00047,persistent muscle,5,False,General Medicine,"Condition_0, Condition_1",5
SYMP00048,intermittent muscle,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",12
SYMP00049,mild throat,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",19
SYMP00050,moderate throat,6,False,General Medicine,"Condition_0, Condition_1, Condition_2",6
SYMP00051,severe throat,10,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",26
SYMP00052,acute throat,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",3
SYMP00053,chronic throat,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",20
SYMP00054,sudden throat,7,True,General Medicine,"Condition_0, Condition_1",20
SYMP00055,persistent throat,7,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",17
SYMP00056,intermittent throat,2,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",9
SYMP00057,mild ear,1,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",17
SYMP00058,moderate ear,4,False,General Medicine,"Condition_0, Condition_1",2
SYMP00059,severe ear,8,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",22
SYMP00060,acute ear,7,False,General Medicine,"Condition_0, Condition_1",14
SYMP00061,chronic ear,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",7
SYMP00062,sudden ear,9,True,General Medicine,"Condition_0, Condition_1, Condition_2",3
SYMP00063,persistent ear,5,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",14
SYMP00064,intermittent ear,3,False,General Medicine,"Condition_0, Condition_1",8
SYMP00065,mild eye,2,False,General Medicine,"Condition_0, Condition_1, Condition_2",20
SYMP00066,moderate eye,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",17
SYMP00067,severe eye,9,True,General Medicine,"Condition_0, Condition_1, Condition_2",14
SYMP00068,acute eye,10,True,General Medicine,"Condition_0, Condition_1",29
SYMP00069,chronic eye,2,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",3
SYMP00070,sudden eye,9,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",24
SYMP00071,persistent eye,5,False,General Medicine,"Condition_0, Condition_1, Condition_2",5
SYMP00072,intermittent eye,4,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",26
SYMP00073,mild shortness of breath,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2",6
SYMP00074,moderate shortness of breath,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",29
SYMP00075,severe shortness of breath,7,False,Pulmonology,"Condition_0, Condition_1",3
SYMP00076,acute shortness of breath,7,True,Pulmonology,"Condition_0, Condition_1",8
SYMP00077,chronic shortness of breath,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2",2
SYMP00078,sudden shortness of breath,9,True,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",16
SYMP00079,persistent shortness of breath,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2",12
SYMP00080,intermittent shortness of breath,4,False,Pulmonology,"Condition_0, Condition_1",6
SYMP00081,mild difficulty breathing,5,False,Pulmonology,"Condition_0, Condition_1",14
SYMP00082,moderate difficulty breathing,6,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",1
SYMP00083,severe difficulty breathing,10,True,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",19
SYMP00084,acute difficulty breathing,8,True,Pulmonology,"Condition_0, Condition_1, Condition_2",28
SYMP00085,chronic difficulty breathing,4,False,Pulmonology,"Condition_0, Condition_1",15
SYMP00086,sudden difficulty breathing,9,True,Pulmonology,"Condition_0, Condition_1",12
SYMP00087,persistent difficulty breathing,5,False,Pulmonology,"Condition_0, Condition_1",13
SYMP00088,intermittent difficulty breathing,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",22
SYMP00089,mild wheezing,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",9
SYMP00090,moderate wheezing,5,False,Pulmonology,"Condition_0, Condition_1",10
SYMP00091,severe wheezing,8,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",8
SYMP00092,acute wheezing,7,False,Pulmonology,"Condition_0, Condition_1",13
SYMP00093,chronic wheezing,2,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP00094,sudden wheezing,10,True,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP00095,persistent wheezing,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",19
SYMP00096,intermittent wheezing,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",2
SYMP00097,mild cough,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP00098,moderate cough,4,True,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",9
SYMP00099,severe cough,8,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",2
SYMP00100,acute cough,8,True,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",10
SYMP00101,chronic cough,1,False,Pulmonology,"Condition_0, Condition_1, Condition_2",16
SYMP00102,sudden cough,10,True,Pulmonology,"Condition_0, Condition_1",2
SYMP00103,persistent cough,5,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",24
SYMP00104,intermittent cough,2,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",13
SYMP00105,mild palpitations,5,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3, Condition_4",15
SYMP00106,moderate palpitations,5,False,Cardiology,"Condition_0, Condition_1, Condition_2",12
SYMP00107,severe palpitations,9,True,Cardiology,"Condition_0, Condition_1, Condition_2",8
