Vital_ID,Vital_Type,Age_Group,Condition_Modifier,Critical_Low_Threshold,Critical_High_Threshold,Moderate_Low_Threshold,Moderate_High_Threshold,Critical_Instability_Score,Moderate_Instability_Score
VITAL00001,Blood_Pressure_Systolic,Infant,Normal,90.0,180.0,100.0,160.0,4,2
VITAL00002,Blood_Pressure_Systolic,Infant,Diabetic,90.0,180.0,100.0,160.0,4,2
VITAL00003,Blood_Pressure_Systolic,Infant,Hypertensive,90.0,180.0,100.0,160.0,4,2
VITAL00004,Blood_Pressure_Systolic,Infant,Cardiac,90.0,180.0,100.0,160.0,4,2
VITAL00005,Blood_Pressure_Systolic,Infant,Respiratory,90.0,180.0,100.0,160.0,4,2
VITAL00006,Blood_Pressure_Systolic,Infant,Renal,90.0,180.0,100.0,160.0,4,2
VITAL00007,Blood_Pressure_Systolic,Infant,Pregnant,90.0,180.0,100.0,160.0,4,2
VITAL00008,Blood_Pressure_Systolic,Child,Normal,90.0,180.0,100.0,160.0,4,2
VITAL00009,Blood_Pressure_Systolic,Child,Diabetic,90.0,180.0,100.0,160.0,4,2
VITAL00010,Blood_Pressure_Systolic,Child,Hypertensive,90.0,180.0,100.0,160.0,4,2
VITAL00011,Blood_Pressure_Systolic,Child,Cardiac,90.0,180.0,100.0,160.0,4,2
VITAL00012,Blood_Pressure_Systolic,Child,Respiratory,90.0,180.0,100.0,160.0,4,2
VITAL00013,Blood_Pressure_Systolic,Child,Renal,90.0,180.0,100.0,160.0,4,2
VITAL00014,Blood_Pressure_Systolic,Child,Pregnant,90.0,180.0,100.0,160.0,4,2
VITAL00015,Blood_Pressure_Systolic,Adolescent,Normal,90.0,180.0,100.0,160.0,4,2
VITAL00016,Blood_Pressure_Systolic,Adolescent,Diabetic,90.0,180.0,100.0,160.0,4,2
VITAL00017,Blood_Pressure_Systolic,Adolescent,Hypertensive,90.0,180.0,100.0,160.0,4,2
VITAL00018,Blood_Pressure_Systolic,Adolescent,Cardiac,90.0,180.0,100.0,160.0,4,2
VITAL00019,Blood_Pressure_Systolic,Adolescent,Respiratory,90.0,180.0,100.0,160.0,4,2
VITAL00020,Blood_Pressure_Systolic,Adolescent,Renal,90.0,180.0,100.0,160.0,4,2
VITAL00021,Blood_Pressure_Systolic,Adolescent,Pregnant,90.0,180.0,100.0,160.0,4,2
VITAL00022,Blood_Pressure_Systolic,Young_Adult,Normal,90.0,180.0,100.0,160.0,4,2
VITAL00023,Blood_Pressure_Systolic,Young_Adult,Diabetic,90.0,180.0,100.0,160.0,4,2
