Chronic_ID,Chronic_Condition,Risk_Modifier_Score,High_Risk_With_Symptoms,Associated_Department,Complication_Risk_Level
CHRON00001,Diabetes Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,Moderate
CHRON00002,Diabetes Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Endocrinology,Moderate
CHRON00003,Diabetes Stage I,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Low
CHRON00004,Diabetes Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Endocrinology,Moderate
CHRON00005,Diabetes Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,Moderate
CHRON00006,Diabetes Stage IV,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,Very High
CHRON00007,Diabetes Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,Low
CHRON00008,Diabetes Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON00009,Diabetes Severe,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Endocrinology,High
CHRON00010,Diabetes Controlled,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Low
CHRON00011,Diabetes Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Very High
CHRON00012,Hypertension Type 1,2,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON00013,Hypertension Type 2,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON00014,Hypertension Stage I,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,Low
CHRON00015,Hypertension Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON00016,Hypertension Stage III,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Cardiology,High
CHRON00017,Hypertension Stage IV,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON00018,Hypertension Mild,2,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON00019,Hypertension Moderate,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,High
CHRON00020,Hypertension Severe,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Very High
CHRON00021,Hypertension Controlled,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON00022,Hypertension Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON00023,Heart Disease Type 1,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,Moderate
CHRON00024,Heart Disease Type 2,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,Low
CHRON00025,Heart Disease Stage I,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,Low
CHRON00026,Heart Disease Stage II,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,High
CHRON00027,Heart Disease Stage III,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Moderate
CHRON00028,Heart Disease Stage IV,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Cardiology,Very High
CHRON00029,Heart Disease Mild,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Cardiology,Moderate
CHRON00030,Heart Disease Moderate,2,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Moderate
CHRON00031,Heart Disease Severe,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,High
CHRON00032,Heart Disease Controlled,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON00033,Heart Disease Uncontrolled,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Cardiology,High
CHRON00034,COPD Type 1,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON00035,COPD Type 2,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON00036,COPD Stage I,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Low
CHRON00037,COPD Stage II,3,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON00038,COPD Stage III,3,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON00039,COPD Stage IV,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Pulmonology,Very High
CHRON00040,COPD Mild,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Pulmonology,Moderate
CHRON00041,COPD Moderate,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON00042,COPD Severe,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Very High
CHRON00043,COPD Controlled,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5, Symptom_6",Pulmonology,Moderate
CHRON00044,COPD Uncontrolled,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,High
CHRON00045,Asthma Type 1,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4, Symptom_5",Pulmonology,Low
CHRON00046,Asthma Type 2,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON00047,Asthma Stage I,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON00048,Asthma Stage II,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON00049,Asthma Stage III,3,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
