Doctor_ID,Specialization,Subspecialty,Experience_Years,Max_Patients_Per_Hour,Critical_Case_Certified,Performance_Score,Preferred_Case_Types,Consultation_Fee,Availability_Hours_Per_Week
DOC00001,Emergency,Toxicology,5,5,Yes,7.4,Emergency Cases,3781,79
DOC00002,Emergency,Toxicology,27,5,Yes,10.0,Emergency Cases,3184,54
DOC00003,Emergency,Trauma,9,5,Yes,6.8,Emergency Cases,2769,59
DOC00004,Emergency,Pediatric EM,4,5,Yes,6.3,Emergency Cases,1412,45
DOC00005,Emergency,Critical Care,19,5,Yes,9.8,Emergency Cases,2551,44
DOC00006,Emergency,Toxicology,5,5,Yes,6.4,Emergency Cases,3731,68
DOC00007,Emergency,Pediatric EM,4,5,No,6.9,Emergency Cases,3428,54
DOC00008,Emergency,Trauma,1,5,No,5.0,Emergency Cases,3001,59
DOC00009,Emergency,Toxicology,12,5,Yes,9.5,Emergency Cases,1738,44
DOC00010,Emergency,Pediatric EM,21,5,Yes,10.0,Emergency Cases,3495,73
DOC00011,Emergency,Toxicology,20,5,Yes,10.0,Emergency Cases,3652,60
DOC00012,Emergency,Pediatric EM,14,5,Yes,9.8,Emergency Cases,3276,65
DOC00013,Emergency,Trauma,20,5,Yes,10.0,Emergency Cases,3531,53
DOC00014,Emergency,Critical Care,14,5,Yes,9.0,Emergency Cases,2220,74
DOC00015,Emergency,Toxicology,5,5,Yes,6.4,Emergency Cases,3637,57
DOC00016,Emergency,Critical Care,10,5,Yes,8.4,Emergency Cases,2655,56
DOC00017,Emergency,Toxicology,6,5,Yes,6.7,Emergency Cases,2646,54
DOC00018,Emergency,Toxicology,24,5,Yes,10.0,Emergency Cases,1473,58
DOC00019,Emergency,Toxicology,12,5,Yes,7.9,Emergency Cases,3342,79
DOC00020,Emergency,Critical Care,6,5,Yes,6.4,Emergency Cases,3184,51
DOC00021,Emergency,Trauma,13,5,Yes,8.4,Emergency Cases,3421,49
DOC00022,Emergency,Trauma,5,5,Yes,7.0,Emergency Cases,4833,41
DOC00023,Emergency,Toxicology,6,5,Yes,7.2,Emergency Cases,1586,49
DOC00024,Emergency,Critical Care,4,5,Yes,7.4,Emergency Cases,3587,61
DOC00025,Emergency,Toxicology,8,5,Yes,7.7,Emergency Cases,1925,45
DOC00026,Emergency,Pediatric EM,4,5,Yes,5.5,Emergency Cases,540,74
DOC00027,Emergency,Trauma,3,5,Yes,6.1,Emergency Cases,1446,41
DOC00028,Emergency,Critical Care,16,5,Yes,8.6,Emergency Cases,2665,79
DOC00029,Emergency,Trauma,22,5,Yes,10.0,Emergency Cases,2004,61
DOC00030,Emergency,Trauma,10,5,Yes,7.1,Emergency Cases,2499,51
DOC00031,Emergency,Pediatric EM,19,5,Yes,10.0,Emergency Cases,4725,74
DOC00032,Emergency,Critical Care,22,5,Yes,10.0,Emergency Cases,3849,41
DOC00033,Emergency,Critical Care,1,5,Yes,6.4,Emergency Cases,2844,56
DOC00034,Emergency,Trauma,23,5,Yes,10.0,Emergency Cases,3033,71
DOC00035,Emergency,Pediatric EM,3,5,Yes,6.0,Emergency Cases,2260,54
DOC00036,Emergency,Toxicology,38,5,Yes,10.0,Emergency Cases,2546,75
DOC00037,Emergency,Toxicology,6,5,Yes,6.5,Emergency Cases,2041,75
